i	x	y
1	0	0.858
2	1	0.737
3	2	0.663
4	3	0.649
5	4	0.665
6	5	0.669
7	6	0.689
8	7	0.725
9	8	0.71
10	9	0.773
11	10	0.813
12	11	0.831
13	12	0.845
14	13	0.852
15	14	0.873
16	15	0.897
17	16	0.943
18	17	0.975
19	18	1.019
20	19	1.001
21	20	1.007
22	21	1.039
23	22	1.065
24	23	1.058
25	24	1.069
26	25	1.081
27	26	1.13
28	27	1.138
29	28	1.14
30	29	1.142
31	30	1.141
32	31	1.12
33	32	1.159
34	33	1.169
35	34	1.193
36	35	1.162
37	36	1.177
38	37	1.156
39	38	1.213
40	39	1.201
41	40	1.208
42	41	1.203
43	42	1.172
44	43	1.223
45	44	1.225
46	45	1.242
47	46	1.237
48	47	1.226
49	48	1.252
50	49	1.235
51	50	1.236
52	51	1.246
53	52	1.283
54	53	1.242
55	54	1.258
56	55	1.259
57	56	1.257
58	57	1.275
59	58	1.267
60	59	1.238
61	60	1.236
62	61	1.282
63	62	1.291
64	63	1.254
65	64	1.283
66	65	1.308
67	66	1.265
68	67	1.283
69	68	1.286
70	69	1.37
71	70	1.377
72	71	1.364
73	72	1.371
74	73	1.405
75	74	1.419
76	75	1.391
77	76	1.464
78	77	1.543
79	78	1.607
80	79	1.669
81	80	1.623
82	81	1.736
83	82	1.694
84	83	1.804
85	84	1.856
86	85	1.939
87	86	1.944
88	87	1.926
89	88	2.058
90	89	2.115
91	90	2.06
92	91	2.143
93	92	2.195
94	93	2.307
95	94	2.219
96	95	2.427
97	96	2.447
98	97	2.436
99	98	2.471
100	99	2.378
